Site Name,Sub-site,Habitat Type ,Habitat Type Area (acres),Year post-completion,Year,Date Details,Metrics,Values,Units,Metric Groups,Metric Type,Collection Method,Data Collection Frequency,Restoration Goal Met? (Y/N),Metric Significance,Analyzed by who?,Notes
San Elijo Lagoon,MC1,NA,NA,Pre-Construction Baseline ,2017,December 2017,Gravel > 1/2 in,0,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC2,NA,NA,Pre-Construction Baseline ,2017,December 2017,Gravel > 1/2 in,0,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC3,NA,NA,Pre-Construction Baseline ,2017,December 2017,Gravel > 1/2 in,0,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC4,NA,NA,Pre-Construction Baseline ,2017,December 2017,Gravel > 1/2 in,0,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC5,NA,NA,Pre-Construction Baseline ,2017,December 2017,Gravel > 1/2 in,0,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC6,NA,NA,Pre-Construction Baseline ,2017,December 2017,Gravel > 1/2 in,0,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC Average,NA,NA,Pre-Construction Baseline ,2017,December 2017,Gravel > 1/2 in,0,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC1,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Coarse Sand (1-2mm),1.3,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC2,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Coarse Sand (1-2mm),0,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC3,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Coarse Sand (1-2mm),0,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC4,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Coarse Sand (1-2mm),0,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC5,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Coarse Sand (1-2mm),0,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC6,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Coarse Sand (1-2mm),0.3,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC Average,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Coarse Sand (1-2mm),0.3,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC1,NA,NA,Pre-Construction Baseline ,2017,December 2017,Coarse Sand (0.5-1mm),14,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC2,NA,NA,Pre-Construction Baseline ,2017,December 2017,Coarse Sand (0.5-1mm),0.9,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC3,NA,NA,Pre-Construction Baseline ,2017,December 2017,Coarse Sand (0.5-1mm),0.4,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC4,NA,NA,Pre-Construction Baseline ,2017,December 2017,Coarse Sand (0.5-1mm),0.4,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC5,NA,NA,Pre-Construction Baseline ,2017,December 2017,Coarse Sand (0.5-1mm),0.3,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC6,NA,NA,Pre-Construction Baseline ,2017,December 2017,Coarse Sand (0.5-1mm),0.5,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC Average,NA,NA,Pre-Construction Baseline ,2017,December 2017,Coarse Sand (0.5-1mm),2.8,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC1,NA,NA,Pre-Construction Baseline ,2017,December 2017,Medium Sand (0.25-0.5mm),38.5,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC2,NA,NA,Pre-Construction Baseline ,2017,December 2017,Medium Sand (0.25-0.5mm),5.8,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC3,NA,NA,Pre-Construction Baseline ,2017,December 2017,Medium Sand (0.25-0.5mm),1.5,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC4,NA,NA,Pre-Construction Baseline ,2017,December 2017,Medium Sand (0.25-0.5mm),1.8,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC5,NA,NA,Pre-Construction Baseline ,2017,December 2017,Medium Sand (0.25-0.5mm),1.4,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC6,NA,NA,Pre-Construction Baseline ,2017,December 2017,Medium Sand (0.25-0.5mm),3.3,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC Average,NA,NA,Pre-Construction Baseline ,2017,December 2017,Medium Sand (0.25-0.5mm),8.7,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC1,NA,NA,Pre-Construction Baseline ,2017,December 2017,Fine Sand (0.15-0.25mm),21.2,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC2,NA,NA,Pre-Construction Baseline ,2017,December 2017,Fine Sand (0.15-0.25mm),30.5,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC3,NA,NA,Pre-Construction Baseline ,2017,December 2017,Fine Sand (0.15-0.25mm),37.9,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC4,NA,NA,Pre-Construction Baseline ,2017,December 2017,Fine Sand (0.15-0.25mm),32.9,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC5,NA,NA,Pre-Construction Baseline ,2017,December 2017,Fine Sand (0.15-0.25mm),30.1,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC6,NA,NA,Pre-Construction Baseline ,2017,December 2017,Fine Sand (0.15-0.25mm),25.3,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC Average,NA,NA,Pre-Construction Baseline ,2017,December 2017,Fine Sand (0.15-0.25mm),29.7,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC1,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Fine Sand (0.05-0.15mm),19.6,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC2,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Fine Sand (0.05-0.15mm),61.1,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC3,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Fine Sand (0.05-0.15mm),59.9,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC4,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Fine Sand (0.05-0.15mm),64.3,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC5,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Fine Sand (0.05-0.15mm),67.4,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC6,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Fine Sand (0.05-0.15mm),68.5,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,TC Average,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Fine Sand (0.05-0.15mm),56.8,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC1,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Coarse Sand (1-2mm),0,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC2,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Coarse Sand (1-2mm),0,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC3,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Coarse Sand (1-2mm),0,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC4,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Coarse Sand (1-2mm),0.7,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC5,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Coarse Sand (1-2mm),0.3,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC6,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Coarse Sand (1-2mm),0,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC Average,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Coarse Sand (1-2mm),0,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC1,NA,NA,Pre-Construction Baseline ,2017,December 2017,Coarse Sand (0.5-1mm),0.9,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC2,NA,NA,Pre-Construction Baseline ,2017,December 2017,Coarse Sand (0.5-1mm),0.3,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC3,NA,NA,Pre-Construction Baseline ,2017,December 2017,Coarse Sand (0.5-1mm),0.3,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC4,NA,NA,Pre-Construction Baseline ,2017,December 2017,Coarse Sand (0.5-1mm),1.8,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC5,NA,NA,Pre-Construction Baseline ,2017,December 2017,Coarse Sand (0.5-1mm),0.2,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC6,NA,NA,Pre-Construction Baseline ,2017,December 2017,Coarse Sand (0.5-1mm),0.1,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC Average,NA,NA,Pre-Construction Baseline ,2017,December 2017,Coarse Sand (0.5-1mm),1,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC1,NA,NA,Pre-Construction Baseline ,2017,December 2017,Medium Sand (0.25-0.5mm),8,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC2,NA,NA,Pre-Construction Baseline ,2017,December 2017,Medium Sand (0.25-0.5mm),1.2,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC3,NA,NA,Pre-Construction Baseline ,2017,December 2017,Medium Sand (0.25-0.5mm),4.2,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC4,NA,NA,Pre-Construction Baseline ,2017,December 2017,Medium Sand (0.25-0.5mm),6.8,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC5,NA,NA,Pre-Construction Baseline ,2017,December 2017,Medium Sand (0.25-0.5mm),1.2,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC6,NA,NA,Pre-Construction Baseline ,2017,December 2017,Medium Sand (0.25-0.5mm),2,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC Average,NA,NA,Pre-Construction Baseline ,2017,December 2017,Medium Sand (0.25-0.5mm),4,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC1,NA,NA,Pre-Construction Baseline ,2017,December 2017,Fine Sand (0.15-0.25mm),33.6,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC2,NA,NA,Pre-Construction Baseline ,2017,December 2017,Fine Sand (0.15-0.25mm),17.8,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC3,NA,NA,Pre-Construction Baseline ,2017,December 2017,Fine Sand (0.15-0.25mm),48.1,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC4,NA,NA,Pre-Construction Baseline ,2017,December 2017,Fine Sand (0.15-0.25mm),45.2,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC5,NA,NA,Pre-Construction Baseline ,2017,December 2017,Fine Sand (0.15-0.25mm),15.8,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC6,NA,NA,Pre-Construction Baseline ,2017,December 2017,Fine Sand (0.15-0.25mm),16.2,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC Average,NA,NA,Pre-Construction Baseline ,2017,December 2017,Fine Sand (0.15-0.25mm),29,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC1,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Fine Sand (0.05-0.15mm),56.7,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC2,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Fine Sand (0.05-0.15mm),79.8,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC3,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Fine Sand (0.05-0.15mm),46.8,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC4,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Fine Sand (0.05-0.15mm),44.7,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC5,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Fine Sand (0.05-0.15mm),79.7,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC6,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Fine Sand (0.05-0.15mm),78.7,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
San Elijo Lagoon,MC Average,NA,NA,Pre-Construction Baseline ,2017,December 2017,Very Fine Sand (0.05-0.15mm),64,%,Soils,Physical,laboratory analysis,Annually,NA,Information Only,PS,
Malibu Lagoon,Station A Channel Bank,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,Nitrate (mg/kg),2.1,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station A Channel Bank,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TN (mg/kg),61.8,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station A Channel Bank,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TKN (mg/kg),59.8,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station A Channel Bank,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TP (mg/kg),325,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station A Channel Plain,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,Nitrate (mg/kg),1,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station A Channel Plain,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TN (mg/kg),107,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station A Channel Plain,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TKN (mg/kg),107,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station A Channel Plain,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TP (mg/kg),327,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station A Thalweg,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,Nitrate (mg/kg),1,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station A Thalweg,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TN (mg/kg),192,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station A Thalweg,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TKN (mg/kg),192,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station A Thalweg,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TP (mg/kg),345,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station B Channel Bank,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,Nitrate (mg/kg),1,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station B Channel Bank,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TN (mg/kg),1600,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station B Channel Bank,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TKN (mg/kg),1600,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station B Channel Bank,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TP (mg/kg),637,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station B Channel Plain,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,Nitrate (mg/kg),1,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station B Channel Plain,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TN (mg/kg),3450,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station B Channel Plain,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TKN (mg/kg),3450,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station B Channel Plain,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TP (mg/kg),1160,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station B Thalweg,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,Nitrate (mg/kg),1,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station B Thalweg,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TN (mg/kg),3040,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station B Thalweg,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TKN (mg/kg),3040,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station B Thalweg,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TP (mg/kg),1020,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station C Channel Bank,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,Nitrate (mg/kg),1,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station C Channel Bank,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TN (mg/kg),2850,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station C Channel Bank,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TKN (mg/kg),2850,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station C Channel Bank,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TP (mg/kg),839,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station C Channel Plain,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,Nitrate (mg/kg),1,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station C Channel Plain,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TN (mg/kg),2630,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station C Channel Plain,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TKN (mg/kg),2630,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station C Channel Plain,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TP (mg/kg),1420,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station C Thalweg,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,Nitrate (mg/kg),1,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station C Thalweg,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TN (mg/kg),3520,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station C Thalweg,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TKN (mg/kg),3520,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station C Thalweg,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TP (mg/kg),965,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station D Channel Bank,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,Nitrate (mg/kg),1.76,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station D Channel Bank,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TN (mg/kg),439,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station D Channel Bank,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TKN (mg/kg),438,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station D Channel Bank,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TP (mg/kg),385,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station D Channel Plain,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,Nitrate (mg/kg),1,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station D Channel Plain,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TN (mg/kg),1010,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station D Channel Plain,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TKN (mg/kg),1010,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station D Channel Plain,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TP (mg/kg),640,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station D Thalweg,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,Nitrate (mg/kg),1,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station D Thalweg,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TN (mg/kg),2233.33,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station D Thalweg,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TKN (mg/kg),2233.33,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,Station D Thalweg,Brackish Estuary,31,Pre-Construction Baseline ,2008,April 2008,TP (mg/kg),957,mg/kg,Soils,Physical,Sediment Sampling,Annual,NA,NA,TM,
Malibu Lagoon,NA,Brackish Estuary,31,Pre-Construction Baseline ,2006,January 2006,Bird Diversity,70,Species,Soils,Biological,Avian Survey,Annual,NA,NA,TM,
Malibu Lagoon,NA,Brackish Estuary,31,Pre-Construction Baseline ,2005,06/20/2005,Native Fish Diversity ,14,Species,Soils,Biological ,Enclosure Traps,Annual,NA,NA,TM,
Malibu Lagoon,Station 2 - Channel Banks,Brackish Estuary,31,2,2014,May 2014,Total Silt and Clay % (0 to 0.0625 mm),65.2,Percent,Soils,Physical,Sediment Sampling,Semi-annual ,NA,NA,TM,
Malibu Lagoon,Station 2 - Channel Banks,Brackish Estuary,31,2,2014,May 2014,Sand % (0.0625 mm to 2 mm),34.8,Percent,Soils,Physical,Sediment Sampling,Semi-annual ,NA,NA,TM,
Malibu Lagoon,Station 2 - Channel Banks,Brackish Estuary,31,2,2014,May 2014,Gravel % (>2 mm),0,Percent,Soils,Physical,Sediment Sampling,Semi-annual ,NA,NA,TM,
Malibu Lagoon,Station 2 - Channel Banks,Brackish Estuary,31,2,2014,May 2014,Median Grain Size ,Silt,NA,Soils,Physical,Sediment Sampling,Semi-annual ,NA,NA,TM,
Malibu Lagoon,Station 2 - Channel Plains,Brackish Estuary,31,2,2014,May 2014,Total Silt and Clay % (0 to 0.0625 mm),14.1,Percent,Soils,Physical,Sediment Sampling,Semi-annual ,NA,NA,TM,
Malibu Lagoon,Station 2 - Channel Plains,Brackish Estuary,31,2,2014,May 2014,Sand % (0.0625 mm to 2 mm),56.3,Percent,Soils,Physical,Sediment Sampling,Semi-annual ,NA,NA,TM,
Malibu Lagoon,Station 2 - Channel Plains,Brackish Estuary,31,2,2014,May 2014,Gravel % (>2 mm),29.6,Percent,Soils,Physical,Sediment Sampling,Semi-annual ,NA,NA,TM,
Malibu Lagoon,Station 2 - Channel Plains,Brackish Estuary,31,2,2014,May 2014,Median Grain Size ,Medium Sand,NA,Soils,Physical,Sediment Sampling,Semi-annual ,NA,NA,TM,
Malibu Lagoon,Station 2- Thalweg,Brackish Estuary,31,2,2014,May 2014,Total Silt and Clay % (0 to 0.0625 mm),55.1,Percent,Soils,Physical,Sediment Sampling,Semi-annual ,NA,NA,TM,
Malibu Lagoon,Station 2- Thalweg,Brackish Estuary,31,2,2014,May 2014,Sand % (0.0625 mm to 2 mm),44.9,Percent,Soils,Physical,Sediment Sampling,Semi-annual ,NA,NA,TM,
Malibu Lagoon,Station 2- Thalweg,Brackish Estuary,31,2,2014,May 2014,Gravel % (>2 mm),0,Percent,Soils,Physical,Sediment Sampling,Semi-annual ,NA,NA,TM,
Malibu Lagoon,Station 2- Thalweg,Brackish Estuary,31,2,2014,May 2014,Median Grain Size ,Silt,NA,Soils,Physical,Sediment Sampling,Semi-annual ,NA,NA,TM,
Malibu Lagoon,Station 3 - Channel Banks,Brackish Estuary,31,2,2014,May 2014,Total Silt and Clay % (0 to 0.0625 mm),15.5,Percent,Soils,Physical,Sediment Sampling,Semi-annual ,NA,NA,TM,
